Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy,Label
330450,1,0.66,0.01,56,Fall
330650,1,0.71,0.03,70,Fall
330850,1,0.73,0.03,53,Fall
331050,1,0.74,0.02,42,Fall
331250,1,0.69,0.0,51,Fall
331450,1,0.67,-0.01,44,Fall
331650,1,0.68,0.0,42,Fall
331850,1,0.7,0.01,41,Fall
332050,1,1.5,-3.84,97,No Fall
332250,1,1.12,-3.81,80,No Fall
332450,1,0.75,-3.77,90,No Fall
332650,1,0.4,-3.7,73,No Fall
332850,1,0.85,0.03,68,No Fall
333050,1,1.3,-3.83,65,No Fall
333250,1,0.87,-3.78,85,No Fall
333450,1,0.61,-3.72,58,No Fall
333650,1,0.31,-3.66,45,No Fall
333850,1,1.49,-3.84,85,No Fall
334050,1,0.99,-2.49,54,No Fall
334250,1,0.74,-1.36,59,No Fall
334450,1,0.65,-0.83,41,No Fall
334650,1,0.55,-1.22,45,No Fall
334850,1,0.31,-1.99,61,No Fall
335050,1,0.25,-1.29,41,No Fall
335250,1,0.78,0.03,68,No Fall
335450,1,1.3,-3.83,50,No Fall
335650,1,0.93,-3.79,45,No Fall
335850,1,0.57,-3.74,61,No Fall
336050,1,0.34,-2.36,43,No Fall
336250,1,0.26,-1.51,44,No Fall
336450,1,0.24,-0.97,42,No Fall
336650,1,0.18,-0.77,41,No Fall
336850,1,0.6,-0.07,47,No Fall
337050,1,0.59,-0.05,44,No Fall
337250,1,1.3,-3.83,58,No Fall
337450,1,0.73,-3.81,45,No Fall
337650,1,1.29,-3.75,50,No Fall
337850,1,0.92,-3.76,89,No Fall
338050,1,0.45,-3.7,97,No Fall
338250,1,0.88,0.07,84,No Fall
338450,1,1.3,-3.83,61,No Fall
338650,1,0.87,-2.75,40,No Fall
338850,1,0.63,-2.42,100,No Fall
339050,1,0.49,-1.53,41,No Fall
339250,1,0.44,-0.98,42,No Fall
339450,1,0.36,-0.78,42,No Fall
339650,1,1.3,-3.83,40,No Fall
339850,1,0.73,-3.81,65,No Fall
340050,1,0.6,0.01,87,Fall
340250,1,0.62,0.08,84,Fall
340450,1,0.65,0.03,86,Fall
340650,1,0.68,0.05,69,Fall
340850,1,0.7,0.07,95,Fall
341050,1,0.72,0.05,74,Fall
341250,1,0.75,0.0,63,Fall
341450,1,0.75,0.0,54,Fall
341650,1,0.78,-1.04,61,No Fall
341850,1,0.64,-1.31,56,No Fall
342050,1,0.52,-0.98,46,No Fall
342250,1,0.46,-0.73,57,No Fall
342450,1,0.38,-1.14,41,No Fall
342650,1,0.4,-0.71,57,No Fall
342850,1,0.43,-0.44,44,No Fall
343050,1,0.41,-0.34,41,No Fall
343250,1,0.53,0.1,80,No Fall
343450,1,0.66,0.03,59,No Fall
343650,1,0.78,-0.15,41,No Fall
343850,1,0.88,-1.36,61,No Fall
344050,1,0.7,-2.05,74,No Fall
344250,1,0.44,-2.45,61,No Fall
344450,1,0.1,-2.7,40,No Fall
344650,1,0.7,0.09,55,No Fall
344850,1,1.29,-3.83,72,No Fall
345050,1,0.72,-3.81,41,No Fall
345250,1,0.53,-3.71,45,No Fall
345450,1,0.38,-2.24,48,No Fall
345650,1,0.32,-1.42,56,No Fall
345850,1,0.3,-0.91,46,No Fall
346050,1,0.33,-0.56,44,No Fall
346250,1,0.83,-0.15,40,No Fall
346450,1,1.49,-3.84,100,Fall
346650,1,0.77,0.0,40,Fall
346850,1,1.49,-3.84,50,Fall
347050,1,0.75,0.0,43,Fall
347250,1,0.75,0.0,41,Fall
347450,1,0.76,-2.02,41,Fall
347650,1,0.49,-2.43,41,Fall
347850,1,0.46,-1.43,41,Fall
348050,1,0.33,-1.09,56,No Fall
348250,1,0.36,-0.66,60,No Fall
348450,1,0.29,-0.56,67,No Fall
348650,1,0.33,0.11,52,No Fall
348850,1,0.38,0.11,59,No Fall
349050,1,0.42,0.04,80,No Fall
349250,1,0.46,0.06,72,No Fall
349450,1,0.51,0.07,83,No Fall
349650,1,0.55,0.0,48,Fall
349850,1,0.56,0.0,59,Fall
350050,1,0.57,0.0,44,Fall
350250,1,0.55,-0.58,41,Fall
350450,1,0.44,-0.93,43,Fall
350650,1,0.23,-1.78,61,Fall
350850,1,0.78,0.08,82,Fall
351050,1,1.32,-3.83,74,Fall
351250,1,0.94,-3.79,89,No Fall
351450,1,0.57,-3.74,85,No Fall
351650,1,0.27,-3.07,89,No Fall
351850,1,0.6,-0.15,45,No Fall
352050,1,0.85,-1.97,52,No Fall
352250,1,0.78,-2.9,73,No Fall
352450,1,0.52,-2.4,43,No Fall
352650,1,0.29,-2.82,85,No Fall
352850,1,1.49,-3.84,100,No Fall
353050,1,1.12,-3.81,80,No Fall
353250,1,0.75,-3.77,74,No Fall
353450,1,0.48,-3.68,40,No Fall
353650,1,1.0,0.08,55,No Fall
353850,1,1.52,-3.83,65,No Fall
354050,1,1.13,-3.81,74,No Fall
354250,1,0.86,-3.76,61,No Fall
354450,1,0.48,-3.7,50,No Fall
354650,1,0.99,0.07,72,No Fall
354850,1,1.5,-3.83,74,No Fall
355050,1,1.12,-3.81,85,No Fall
355250,1,0.75,-3.77,65,No Fall
355450,1,1.03,0.1,99,No Fall
355650,1,1.31,-3.83,50,No Fall
355850,1,0.94,-3.79,98,No Fall
356050,1,0.66,-3.72,85,No Fall
356250,1,0.3,-3.66,41,No Fall
356450,1,1.51,-3.84,41,No Fall
356650,1,1.13,-3.81,74,No Fall
356850,1,0.76,-3.77,65,No Fall
357050,1,0.4,-3.7,85,No Fall
357250,1,0.86,0.02,60,No Fall
357450,1,1.32,-3.83,61,No Fall
357650,1,0.74,-1.8,99,No Fall
357850,1,0.74,0.1,92,No Fall
358050,1,0.75,0.08,76,No Fall
358250,1,0.75,0.07,96,No Fall
358450,1,0.75,0.11,56,No Fall
358650,1,0.75,0.03,73,No Fall
358850,1,0.76,0.06,96,No Fall
359050,1,0.76,0.16,50,No Fall
359250,1,0.77,0.1,47,No Fall
359450,1,0.91,0.04,60,No Fall
359650,1,1.05,-1.97,50,No Fall
359850,1,0.9,-2.92,100,No Fall
360050,1,0.6,-3.22,61,No Fall
360250,1,0.11,-3.3,72,No Fall
360450,1,1.49,-3.84,89,No Fall
360650,1,1.12,-3.81,52,No Fall
360850,1,0.55,-3.79,89,No Fall
361050,1,0.34,-3.68,68,No Fall
361250,1,1.49,-3.84,74,No Fall
361450,1,0.89,-1.25,43,No Fall
361650,1,0.76,-0.68,42,No Fall
361850,1,1.0,0.04,65,No Fall
362050,1,1.24,0.08,81,No Fall
362250,1,1.48,-3.83,52,No Fall
362450,1,1.11,-3.81,68,No Fall
362650,1,0.85,-3.74,40,No Fall
362850,1,0.47,-3.7,45,No Fall
363050,1,0.88,0.05,93,No Fall
363250,1,1.3,-3.83,74,No Fall
363450,1,0.93,-3.79,74,No Fall
363650,1,0.37,-3.77,52,No Fall
363850,1,1.49,-3.84,74,No Fall
364050,1,0.92,-3.83,52,No Fall
364250,1,0.74,-3.75,65,No Fall
364450,1,0.92,0.1,59,No Fall
364650,1,1.11,-3.84,72,No Fall
364850,1,1.0,-3.78,41,No Fall
365050,1,0.68,-3.74,89,No Fall
365250,1,0.14,-3.71,52,No Fall
365450,1,0.75,-0.13,50,No Fall
365650,1,0.73,-0.18,55,Fall
365850,1,0.69,0.06,97,Fall
366050,1,0.65,0.04,78,Fall
366250,1,0.62,0.06,75,Fall
366450,1,0.58,0.05,74,Fall
366650,1,0.54,0.05,56,Fall
366850,1,0.5,0.0,91,Fall
367050,1,0.7,0.08,99,Fall
367250,1,0.91,0.03,92,No Fall
367450,1,1.11,-3.84,45,No Fall
367650,1,1.12,0.05,75,No Fall
367850,1,1.13,-3.84,50,No Fall
368050,1,1.0,-3.78,41,No Fall
368250,1,0.68,-3.74,61,No Fall
368450,1,0.35,-3.68,80,No Fall
368650,1,1.49,-3.84,80,No Fall
368850,1,1.28,-3.8,100,No Fall
369050,1,0.84,-3.77,52,No Fall
369250,1,0.27,-3.74,72,No Fall
369450,1,1.5,-3.84,52,No Fall
369650,1,0.92,-3.83,45,No Fall
369850,1,0.75,-3.75,41,No Fall
370050,1,0.46,-3.69,50,No Fall
370250,1,0.88,0.08,78,No Fall
370450,1,1.3,-3.83,74,No Fall
370650,1,0.93,-3.79,74,No Fall
370850,1,0.57,-3.74,100,No Fall
371050,1,0.22,-3.67,61,No Fall
371250,1,1.49,-3.84,74,No Fall
371450,1,1.11,-3.81,52,No Fall
371650,1,0.75,-3.77,41,No Fall
371850,1,0.93,0.03,99,No Fall
372050,1,1.11,0.11,81,No Fall
372250,1,1.29,-3.83,52,No Fall
372450,1,0.93,-3.79,45,No Fall
372650,1,0.57,-3.73,41,No Fall
372850,1,0.3,-3.65,74,No Fall
373050,1,1.49,-3.84,80,No Fall
373250,1,1.12,-3.81,41,No Fall
373450,1,0.76,-3.77,58,No Fall
373650,1,0.4,-3.7,72,No Fall
373850,1,0.94,0.11,71,No Fall
374050,1,1.48,-3.83,50,No Fall
374250,1,1.27,-3.81,61,No Fall
374450,1,0.95,-3.76,85,No Fall
374650,1,0.53,-3.71,65,No Fall
374850,1,1.04,0.04,99,No Fall
375050,1,1.56,-3.84,74,No Fall
375250,1,1.05,-3.81,74,No Fall
375450,1,0.47,-3.79,74,No Fall
375650,1,0.88,0.08,94,No Fall
375850,1,1.3,-3.83,61,No Fall
376050,1,0.93,-3.79,74,No Fall
376250,1,0.45,-3.73,97,No Fall
376450,1,0.88,0.1,70,No Fall
376650,1,1.31,-3.83,52,No Fall
376850,1,0.93,-3.79,50,No Fall
377050,1,0.57,-3.74,61,No Fall
377250,1,0.94,0.1,88,No Fall
377450,1,1.32,-3.83,41,No Fall
377650,1,0.94,-3.79,61,No Fall
377850,1,0.57,-2.19,42,No Fall
378050,1,0.61,0.06,78,No Fall
378250,1,0.65,0.06,86,No Fall
378450,1,0.68,0.11,95,Fall
378650,1,0.72,0.04,72,Fall
378850,1,0.76,0.01,79,Fall
379050,1,0.8,0.23,52,Fall
379250,1,0.79,0.23,61,Fall
379450,1,0.79,0.13,43,Fall
379650,1,0.72,-0.78,41,Fall
379850,1,0.66,-0.58,41,Fall
380050,1,0.56,-1.07,41,No Fall
380250,1,0.32,-1.9,41,No Fall
380450,1,0.7,0.03,75,No Fall
380650,1,1.09,0.03,74,No Fall
380850,1,1.47,-3.83,40,No Fall
381050,1,1.11,-3.81,41,No Fall
381250,1,1.3,0.11,62,No Fall
381450,1,1.49,-3.84,41,No Fall
381650,1,1.11,-3.8,41,No Fall
381850,1,0.84,-3.76,74,No Fall
382050,1,0.51,-3.71,80,No Fall
382250,1,0.9,0.1,77,No Fall
382450,1,1.3,-3.83,52,No Fall
382650,1,0.73,-3.81,41,No Fall
382850,1,0.27,-3.76,41,No Fall
383050,1,0.78,-0.15,42,No Fall
383250,1,0.75,-0.05,51,Fall
383450,1,0.72,-0.03,59,Fall
383650,1,0.71,-0.06,51,Fall
383850,1,0.7,0.06,85,Fall
384050,1,0.68,0.01,89,Fall
384250,1,0.66,0.04,66,Fall
384450,1,0.65,0.1,90,Fall
384650,1,0.64,0.07,87,Fall
384850,1,0.62,0.03,70,No Fall
385050,1,0.6,0.03,67,No Fall
385250,1,0.59,-0.15,58,No Fall
385450,1,0.65,-1.97,65,No Fall
385650,1,0.65,-2.88,85,No Fall
385850,1,0.49,-2.37,40,No Fall
386050,1,0.26,-2.79,100,No Fall
386250,1,1.51,-3.84,61,No Fall
386450,1,1.13,-3.81,72,No Fall
386650,1,0.75,-3.77,52,No Fall
386850,1,0.4,-3.7,89,No Fall
387050,1,0.86,0.04,97,No Fall
387250,1,1.33,-3.83,50,No Fall
387450,1,0.9,-2.85,40,No Fall
387650,1,0.45,-3.05,80,No Fall
387850,1,0.24,-3.23,85,No Fall
388050,1,1.49,-3.84,52,No Fall
388250,1,1.11,-3.81,52,No Fall
388450,1,0.75,-3.77,61,No Fall
388650,1,0.93,0.07,93,No Fall
388850,1,1.11,-3.84,41,No Fall
389050,1,1.0,-3.78,72,No Fall
389250,1,0.69,-3.73,40,No Fall
389450,1,0.35,-3.68,65,No Fall
389650,1,1.5,-3.84,58,No Fall
389850,1,1.13,-3.81,45,No Fall
390050,1,0.75,-2.98,80,No Fall
390250,1,0.45,-3.22,65,No Fall
390450,1,0.9,0.03,51,No Fall
390650,1,1.34,-3.83,45,No Fall
390850,1,0.94,-3.8,41,No Fall
391050,1,0.58,-3.74,40,No Fall
391250,1,0.3,-3.65,61,No Fall
391450,1,1.51,-3.84,52,No Fall
